Path,Bam,Label,Locality,Individual,Collection Locality,Geographic Region
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTQP_009_R1.sort.proper.rmdup.bam,RD_BTQP_009,RD_BTQP_009,BTQP,32,BTQP,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTQP_010_R1.sort.proper.rmdup.bam,RD_BTQP_010,RD_BTQP_010,BTQP,33,BTQP,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTQP_011_R1.sort.proper.rmdup.bam,RD_BTQP_011,RD_BTQP_011,BTQP,34,BTQP,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTQP_012_R1.sort.proper.rmdup.bam,RD_BTQP_012,RD_BTQP_012,BTQP,35,BTQP,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTQP_013_R1.sort.proper.rmdup.bam,RD_BTQP_013,RD_BTQP_013,BTQP,36,BTQP,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTQP_014_R1.sort.proper.rmdup.bam,RD_BTQP_014,RD_BTQP_014,BTQP,37,BTQP,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTQP_015_R1.sort.proper.rmdup.bam,RD_BTQP_015,RD_BTQP_015,BTQP,38,BTQP,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTQP_016_R1.sort.proper.rmdup.bam,RD_BTQP_016,RD_BTQP_016,BTQP,39,BTQP,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTQP_017_R1.sort.proper.rmdup.bam,RD_BTQP_017,RD_BTQP_017,BTQP,40,BTQP,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTQP_018_R1.sort.proper.rmdup.bam,RD_BTQP_018,RD_BTQP_018,BTQP,41,BTQP,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTQP_019_R1.sort.proper.rmdup.bam,RD_BTQP_019,RD_BTQP_019,BTQP,42,BTQP,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_BTQP_020_R1.sort.proper.rmdup.bam,RD_BTQP_020,RD_BTQP_020,BTQP,43,BTQP,Western Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_001_R1.sort.proper.rmdup.bam,RD_GSJS_001,RD_GSJS_001,GSJS_NS05,44,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_002_R1.sort.proper.rmdup.bam,RD_GSJS_002,RD_GSJS_002,GSJS_NS05,45,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_003_R1.sort.proper.rmdup.bam,RD_GSJS_003,RD_GSJS_003,GSJS_NS05,46,GSJS,Eastern Valleys
