label	Locality
RD_GSTS_008	GSTS
RD_GSTS_009	GSTS
RD_GSTS_010	GSTS
RD_GSTS_011	GSTS
RD_GSTS_012	GSTS
RD_GSTS_013	GSTS
RD_GSTS_014	GSTS
RD_GSTS_015	GSTS
RD_GSTS_016	GSTS
RD_GSTS_017	GSTS
RD_GSTS_018	GSTS
RD_GSTS_019	GSTS
RD_GSTS_020	GSTS
RD_RBFL_001	RBFL
RD_RBFL_002	RBFL
RD_RBFL_003	RBFL
RD_RBFL_004	RBFL
RD_RBFL_005	RBFL
RD_RBFL_006	RBFL
RD_RBFL_007	RBFL
RD_RBFL_008	RBFL
RD_RBFL_009	RBFL
RD_RBFL_010	RBFL
RD_RBFL_011	RBFL
RD_RBFL_012	RBFL
RD_RBFL_013	RBFL
RD_RBFL_014	RBFL
RD_RBFL_015	RBFL
RD_RBFL_016	RBFL
RD_RBFL_017	RBFL
RD_RBFL_018	RBFL
RD_RBFL_019	RBFL
RD_RBFL_020	RBFL
RD_RBFR_001	RBFR
RD_RBFR_002	RBFR
RD_RBFR_003	RBFR
RD_RBFR_004	RBFR
RD_RBFR_005	RBFR
RD_RBFR_006	RBFR
RD_RBFR_007	RBFR
RD_RBFR_008	RBFR
RD_RBFR_009	RBFR
RD_RBFR_010	RBFR
RD_RBFR_011	RBFR
RD_RBFR_012	RBFR
RD_RBFR_013	RBFR
RD_RBFR_014	RBFR
RD_RBFR_015	RBFR
RD_RBFR_016	RBFR
RD_RBFR_017	RBFR
RD_RBFR_018	RBFR
RD_RBFR_019	RBFR
RD_RBFR_020	RBFR
RD_RBRL_001	P226
RD_RBRL_002	P226
RD_RBRL_006	P226
RD_RBRL_007	P226
RD_RBRL_009	P226
RD_RBRL_010	P226
RD_RBRL_014	P226
RD_RBRL_019	P226
RD_RBRL_021	P246
RD_RBRL_022	P246
RD_RBRL_023	P246
RD_RBRL_024	P246
RD_RBRL_025	P246
RD_RBRL_026	P246
RD_RBRL_027	P246
RD_RBRL_028	P246
RD_RBRL_029	P246
RD_RBRL_030	P246
RD_SPKR_001	SPKR
RD_SPKR_002	SPKR
RD_SPKR_003	SPKR
RD_SPKR_004	SPKR
RD_SPKR_005	SPKR
RD_SPKR_006	SPKR
RD_SPKR_007	SPKR
RD_SPKR_008	SPKR
RD_SPKR_009	SPKR
RD_SPKR_010	SPKR
RD_SPKR_011	SPKR
RD_SPKR_012	SPKR
RD_SPKR_013	SPKR
RD_SPKR_014	SPKR
RD_SPKR_015	SPKR
